,id,keywords
141,16388,"['love', 'independent film', 'best friend']"
142,9737,"['miami', 'airport', 'mexican standoff', 'strip club', 'car crash', 'gunfight', 'drug lord', 'corrupt cop']"
143,30765,['china']
144,10474,"['sport', 'addict', 'friend', 'drug']"
145,22279,"['england', 'based on novel', '1940s']"
146,30157,['independent film']
147,568,"['moon', 'florida', 'nasa', 'space', 'astronaut', 'imax']"
148,11780,['scotland']
149,34996,"['new york', 'blood', 'student']"
150,414,"['partner', 'superhero', 'psychologist', 'district attorney']"
151,649,"['wife husband relationship', 'brothel', 'dream', 'independent film']"
152,1873,['doctor']
153,5894,['independent film']
154,1775,[]
155,8839,"['halloween', 'friendship', 'friend', 'danger', 'ghost']"
156,20649,"['train', 'drug', 'drug lord']"
157,10329,"['gorilla', 'diamond']"
158,8963,"['russia', 'moral dilemma']"
159,26564,"['underground', 'art']"
160,8068,"['ambush', 'mexico', 'showdown', 'guitar', 'hitman', 'shootout', 'drug lord', 'flashback']"
161,8512,"['murder', 'film noir', 'neo-noir']"
162,1572,"['bomb', 'taxi', 'gold', 'subway', 'ship', 'fistfight', 'sequel', 'shootout', 'flashback']"
163,13552,"['sex', 'drifter', 'voyeur']"
164,259209,[]
165,6520,"['knight', 'king arthur']"
166,9073,"['human animal relationship', 'whale']"
167,10428,"['hacker', 'computer virus', 'prank', 'internet', 'cyberpunk']"
168,17447,['gay']
169,9886,"['brain', 'dystopia', 'cyberpunk']"
170,9482,"['dystopia', 'based on graphic novel']"
171,19326,"['stripper', 'independent film']"
172,9344,[]
173,9071,"['cinema', 'independent film']"
174,8973,"['sect', 'occult']"
175,15730,[]
176,47608,"['suicide attempt', 'teen angst', 'woman director']"
177,2293,"['sex', 'slacker', 'mall']"
178,9070,"['tokusatsu', 'superhero team']"
179,68274,"['widow', 'female friendship', 'grief', 'death of husband']"
180,48787,"['chase', 'murder', 'mute']"
181,34574,"['new york', 'dracula']"
182,1642,"['computer virus', 'chase']"
183,11472,['parent child relationship']
184,36196,"['independent film', 'woman director']"
185,11980,['angel']
186,58372,"['trauma', 'female protagonist']"
187,32646,"['sex', 'independent film', 'psychiatrist']"
188,10533,"['based on novel', 'period drama', 'extramarital affair']"
189,56088,[]
190,10802,[]
191,10149,"['robber', 'independent film', 'writer']"
192,18402,[]
193,9348,"['dna', 'paranoia', 'alien', 'on the run', 'scientist']"
194,139408,['oil']
195,281,"['rape', 'dream', 'ex-girlfriend', 'bodyguard', 'rapper', 'dystopia', 'ex-cop', 'murder', 'cyberpunk', 'revolt', 'woman director']"
196,5967,"['letter', 'music', 'war']"
197,79593,[]
198,47939,"['drifter', 'dog', 'korean war', 'woman director']"
199,36834,"['mentor', 'poet', 'woman director']"
200,9090,"['gay', 'new york', 'drag queen', 'homophobia', 'travel', 'woman director']"
201,3512,"['terrorist', 'train']"
202,52856,['woman director']
203,77350,['fashion']
204,9560,"['world war ii', 'love']"
205,9804,"['ocean', 'tattoo', 'mutant', 'water', 'dystopia']"
206,31611,['dystopia']
207,65796,[]
208,49805,[]
209,26258,"['cave', 'children']"
210,50797,"['wife husband relationship', 'colonel']"
211,19155,"['monk', 'mountain', 'christian', 'girl']"
212,76,"['austria', 'travel', 'vienna']"
213,11017,['woman director']
214,37141,['alcohol']
215,9382,"['car journey', 'friendship', 'friend']"
216,6715,['mississippi']
217,18256,['voyeur']
218,22625,['independent film']
219,2292,"['salesclerk', 'loser']"
220,1909,"['love', 'patient', 'psychiatrist']"
221,8984,[]
222,61813,"['vision', 'psychic']"
223,4954,['terrorist']
224,62488,['heist']
225,10531,"['chile', 'doctor']"
226,11929,"['based on novel', 'bar', 'island', 'murder', 'maid', 'anger', 'alcohol']"
227,8467,"['motel', 'prank', 'fired from the job', 'sitting on a toilet']"
228,10451,"['cook', 'daughter', 'date']"
229,20156,"['secret', 'nightclub', 'independent film']"
230,18395,"['island', 'love', 'mistress', 'bdsm']"
231,522,"['taxi', 'boxer', 'film director', 'movie studio', 'drug addict', 'cult director', 'actor']"
232,397,"['airport', 'canadian']"
233,10525,[]
234,27985,[]
235,15789,"['father son relationship', 'music', 'road trip']"
236,27303,[]
237,21183,"['father son relationship', 'based on novel', 'talking dog', 'dog', 'flashback']"
238,10954,"['brother brother relationship', 'opera']"
239,47867,[]
240,43475,[]
241,72031,[]
242,14275,"['chicago', 'sports team', 'ghetto', 'sport', 'independent film']"
243,1024,"['mother', 'sex', 'secret', 'passion', 'love', 'friend', 'murder', 'independent film', 'lesbian', 'true', 'relationship']"
244,17207,[]
245,13701,['deaf']
246,14819,['summer camp']
247,32631,[]
248,11777,['comet']
249,628,"['san francisco', 'bite', 'fang vamp']"
250,87729,[]
251,18713,"['new york', 'gangster']"
252,6280,"['media', 'scientist']"
253,9061,"['rape', 'florida', 'professor']"
254,37108,['time travel']
255,6071,['hoodlum']
256,11,"['android', 'hermit', 'rebellion', 'planet', 'space opera']"
257,9587,"['mother daughter relationship', 'pregnant', 'woman director']"
258,19101,"['based on novel', 'servant', 'private school', 'female friendship', 'boarding school', 'british', 'school', 'little girl', 'orphan', 'india', 'father daughter relationship', 'schoolgirl', 'attic']"
259,49980,"['love', 'children']"
260,17961,[]
261,18183,"['sister sister relationship', 'cook']"
262,4476,"['brother brother relationship', 'montana', 'based on novel', 'world war i']"
263,11008,[]
264,47504,"['russian mafia', 'brother']"
265,32325,"['gang', 'woman director']"
266,43742,[]
267,28313,"['mother', 'based on novel', 'drug addict', 'son', 'racist', 'interracial relationship', 'extramarital affair']"
268,11318,"['queen', 'kingdom', 'victorian england']"
269,3036,['frankenstein']
270,40490,[]
271,24070,"['holiday', 'woman director']"
272,8986,"['stripper', 'make a match', 'mob boss']"
273,10510,"['holiday', 'santa claus', 'wish']"
274,17402,[]
275,38722,['independent film']
276,8438,"['prison', 'prison', 'death row', 'lawyer', 'courtroom', '1940s']"
277,11593,['drama']
278,1945,"['autism', 'lake', 'feral child', 'forest', 'north carolina', 'psychologist']"
279,39310,"['new jersey', 'troubled teen']"
280,109560,[]
281,56428,"['scientist', 'drug', 'killer']"
282,63105,"['cyborg', 'sequel']"
283,131957,[]
284,241,"['sadist', 'journalist', 'trauma', 'daughter']"
285,9058,['trip']
286,527,"['slum', 'tattoo', 'alcohol', 'rape', 'loss of child', 'despair', 'violent husband', 'ghetto', 'new zealand', 'strong woman', 'crush', 'independent film', 'teacher', 'youth gang', 'rebellious youth', 'incest']"
287,18220,"['sex', 'murder', 'student', 'lust', 'art', 'woman director']"
288,6950,"['river', 'general', 'research', 'monkey']"
289,101,"['new york', 'assassin', 'hitman', 'train', 'murder', 'neighbor', 'cult film', 'neo-noir']"
290,63020,"['independent film', 'woman director']"
291,2307,['teenage crush']
292,680,"['brothel', 'boxer', 'stolen money', 'crime boss', 'theft']"
293,41478,[]
294,25296,[]
295,40156,"['gay', 'secret', 'faith', 'independent film', 'girl', 'church', 'united kingdom', 'catholic priest', 'woman director']"
296,11450,"['tv show', 'lawyer']"
297,30304,"['hawaii', 'orphan', 'older man younger woman relationship']"
298,10452,['slaughter']
299,12106,"['shootout', 'pistol']"
300,161495,"['grandfather grandson relationship', 'birthday', 'vegetarian', 'orphan']"
301,3586,"['hotel room', 'mannequin', 'fashion']"
302,110,"['mannequin', 'travel', 'dog']"
303,108,"['pain', 'loss of husband']"
304,109,"['business man', 'poland']"
305,159185,[]
306,36357,[]
307,92769,"['therapist', 'suspicion']"
308,28033,[]
309,22586,['princess']
310,14334,['ireland']
311,2636,[]
312,2164,"['space travel', 'shot to death']"
313,11395,"['holiday', 'santa claus']"
314,278,"['prison', 'escape from prison', '1940s']"
315,9905,['grave']
316,87078,['amnesia']
317,12527,"['gay', 'cuba', 'artist', 'male friendship', 'student']"
318,20306,['independent film']
319,36614,"['gay', 'father son relationship', 'australia', 'independent film']"
320,27993,[]
321,31439,"['china', 'communist', 'epic']"
322,9067,"['destroy', 'dystopia', 'desert', 'woman director']"
323,9059,"['key', 'jesus christ', 'god', 'good vs evil', 'blood', 'demon']"
324,193,['death']
325,25066,"['prison', 'ku klux klan', 'ghetto', 'murder', 'hood', 'dirty cop']"
326,46797,[]
327,12122,"['alien life-form', 'alien']"
328,11381,[]
329,32636,['independent film']
330,36141,['independent film']
331,95963,['vietnam']
332,1587,"['brother brother relationship', 'widow', 'independent film']"
333,9271,"['android', 'hologram', 'ex-cop']"
334,2064,"['brother brother relationship', 'chicago', 'coma', 'subway', 'brother']"
335,19855,"['vietnam veteran', 'child']"
336,60855,"['culture clash', 'daughter', 'mother daughter relationship', 'date', 'father daughter relationship', 'woman director', 'actor']"
337,236,"['becoming an adult', 'dream', 'return', 'boredom', 'daughter', 'friendship']"
338,48287,"['friend', 'camp', 'summer', 'club', 'woman director']"
339,3049,"['dolphin', 'pet']"
340,2759,"['gay', 'drag queen', 'homophobia', 'music', 'van', 'australia']"
341,12635,[]
342,10497,"['wheelchair', 'voyeur']"
343,11382,"['lover (female)', 'talent', 'mafia boss', 'author']"
344,9331,"['assassin', 'ambush', 'cia', 'based on novel', 'sniper', 'fbi', 'colombia', 'bomber', 'war', 'drug cartel', 'shootout']"
345,10731,"['brother brother relationship', 'brother', 'lawyer', 'gangster']"
346,10464,"['daughter', 'friendship', 'mute', 'xenophobia', 'woman director']"
347,34152,"['1970s', 'jazz musician', 'independent film', 'teacher', 'urban', 'parenthood']"
348,9495,"['halloween', 'arson', 'detroit']"
349,29973,['sport']
350,888,"['plan', 'friendship', 'best friend', 'dinosaur']"
351,13,"['vietnam veteran', 'based on novel', 'vietnam', 'vietnam war', 'friendship', 'love', 'mother son relationship', 'flashback']"
352,712,"['upper class', 'love at first sight', 'lone wolf', 'bride', 'friendship']"
353,16295,['racism']
354,48992,"['love', 'jail', 'independent film', 'theft', 'woman director']"
355,10879,[]
356,10660,"['waitress', 'cop']"
357,10714,"['indian lead', 'tiger', 'feral child', 'british', 'bear']"
358,41647,['propaganda']
359,8587,"['shaman', 'king']"
360,1689,"['tibet', 'independent film']"
361,11596,"['fire', 'insomnia', 'fame', 'hollywood', 'reboot', 'dream']"
362,854,"['bank', 'balloon']"
363,9359,"['poker', 'mississippi', 'saloon', 'ship', 'native american', 'on the run']"
364,23333,"['new york', 'alcohol', 'independent film', 'theater', 'flashback', '1920s']"
365,36593,['spoof']
366,12280,"['new york', 'research', 'success', 'murder']"
367,2788,[]
368,10427,"['sheriff', 'hitman', 'neo-noir']"
369,11011,[]
370,49803,"['mother', 'pain', 'independent film']"
371,8987,"['river', 'robber', 'boston']"
372,1637,"['bomb', 'airport', 'bus', 'highway']"
373,15128,['love']
374,8831,['time travel']
375,36955,"['terrorist', 'florida', 'gun']"
376,10449,"['wife husband relationship', 'alcohol']"
377,10395,"['bite', 'werewolf']"
378,12160,"['sheriff', 'wretch']"
379,40480,"['cia', 'blackmail']"
380,52038,"['gay', 'friendship', 'ireland', 'theater']"
381,29444,"['tv show', 'media', 'teenage girl']"
382,26352,"['fbi', 'drug']"
383,39953,[]
384,41580,[]
385,315,"['sports car', 'independent film', 'exploitation film']"
386,22067,"['fear', 'relationship']"
387,18242,[]
388,11667,[]
389,32502,"['hitman', 'wound', 'murder', 'basement', 'blood']"
390,267188,[]
391,28732,"['prank', 'independent film']"
392,75555,"['mannequin', 'cult film']"
393,42981,[]
394,278939,"['bank', 'money']"
395,291731,['widow']
396,226229,[]
397,203119,[]
398,172923,[]
399,316098,[]
400,8011,"['japan', 'new york', 'scotland', 'morocco', 'good and bad']"
401,171857,[]
402,2654,"['small town', 'paranoia', 'h.p. lovecraft', 'diner', 'author', 'church', 'gothic', 'crucifix', 'new england']"
403,18069,"['rodeo', 'independent film', 'cowboy']"
404,19092,['sport']
405,2758,"['brother sister relationship', 'butler', 'summer camp']"
406,38129,[]
407,10436,"['upper class', 'new york', 'lover', 'countess', 'lawyer']"
408,13595,['rock band']
409,46094,['sport']
410,9409,"['cop', 'gangster']"
411,11853,['wild west']
412,16771,"['barcelona spain', 'independent film']"
413,46924,['success']
414,11041,"['oil', 'woman director']"
415,306,"['weapon', 'sequel', 'counterfeit', 'shootout', 'dirty cop', 'gunfight', 'amusement park']"
416,14522,['woman director']
417,26203,"['killer', 'blind']"
418,178,"['terrorist', 'boston', 'orchestra', 'anarchist', 'concert', 'irish', 'flashback']"
419,19819,"['sport', 'drama']"
420,57834,"['nymphomaniac', 'independent film']"
421,4722,"['alien', 'soldier']"
422,18215,"['dream', 'doctor', 'woman director']"
423,1607,"['father son relationship', 'italian', 'gangster boss', 'nostalgia', 'best friend', 'hoodlum', 'xenophobia']"
424,26391,[]
425,117553,"['tattoo', 'california', 'father son relationship', 'beach', 'radio', 'con man', 'nostalgia', 'cop', 'stolen money', 'diner', 'marijuana', 'hollywood', 'summer', 'movie star']"
426,6075,"['prison', '1970s', 'release from prison', 'love', 'night club', 'drug', 'disco']"
427,11310,"['nevada', 'gold', 'birthday', 'treasure hunt', 'cowboy']"
428,18658,[]
429,9350,"['mountain', 'hijack', 'heist', 'money', 'snow']"
430,9612,['alien life-form']
431,2124,"['california', 'sex', 'paranoia', 'therapist', 'grief', 'psychiatrist', 'voyeur']"
432,26261,[]
433,19176,['cowboy']
434,49299,"['independent film', 'drug', 'psychological drama']"
435,11566,['coma']
436,9571,"['1970s', 'high school', 'summer', 'period drama']"
437,9739,"['museum', 'utopia', 'dystopia', 'fistfight', 'psychopath', 'shootout', 'cyberpunk']"
438,24257,[]
439,34444,['lesbian']
440,26141,['spoof']
441,10997,"['gay', 'china', 'woman between two men', 'independent film', 'best friend']"
442,50463,[]
443,10443,"['grief', 'guilt', 'mental health']"
444,20239,"['hip-hop', 'musician', 'spoof']"
445,16297,['homeless person']
446,18551,"['sex', 'liquor', 'murder', 'film noir']"
447,25440,[]
448,9024,"['hotel', 'lover (female)', 'mistress']"
449,37233,"['fbi', 'law', 'lawyer']"
450,1634,"['human animal relationship', 'whale', 'freedom', 'best friend', 'amusement park']"
451,13815,"['childhood trauma', 'death of a child', 'drug', 'death']"
452,5503,"['chicago', 'showdown', 'surgeon', 'chase', 'on the run', 'doctor', 'flashback', 'corrupt cop', 'manhunt']"
453,35588,['native american']
454,2087,[]
455,41579,[]
456,18620,"['lesbian relationship', 'independent film', 'woman director']"
457,41006,['golf']
458,4916,[]
459,2019,"['money', 'drifter', 'union', 'sailor']"
460,31642,"['vietnam', 'vietnam war', 'dog']"
461,9255,"['swordplay', 'iraq war']"
462,26271,"['independent film', 'best friend']"
463,10612,['world war i']
464,2259,"['central and south america', 'farm', ""coup d'etat"", 'paranormal phenomena']"
465,16097,[]
466,11934,"['new york', 'journalist', 'inventor', 'toy', 'plan', 'boss', 'money']"
467,106143,"['father daughter relationship', 'actor']"
468,12475,"['friendship', 'war']"
469,9386,"['cia', 'assassin', 'bodyguard']"
470,7984,"['bomb', 'prison', 'father son relationship', 'based on novel', '1970s', 'faith', 'irish', 'trial', 'rebellion', 'terror', 'courtroom']"
471,59930,[]
472,15765,[]
473,31643,[]
474,6,"['chicago', 'boxing match', 'one night']"
475,329,"['exotic island', 'dna', 'tyrannosaurus rex', 'island', 'dinosaur', 'amusement park']"
476,10909,"['california', 'journalist', 'photograph', 'highway']"
477,507,"['bank', 'jazz', 'heroin', 'friendship', 'murder', 'independent film', 'pistol', 'drug', 'hoodlum']"
478,34024,[]
479,29918,[]
480,9593,"['magic', 'spoof']"
481,42580,[]
482,22317,[]
483,1413,['china']
484,12121,['high school']
485,2246,['insurance fraud']
486,10502,"['secret', 'suspicion', 'friendship', 'boarding school', 'love']"
487,10440,"['independent film', 'neighbor']"
488,9516,"['ghetto', 'weapon']"
489,2320,"['bomb', 'ransom', 'hijack', 'shootout', 'terror', 'flashback', 'hand to hand combat']"
490,5879,"['japan', 'brothel', 'passion', 'geisha', 'independent film', 'unsimulated sex']"
491,83718,['date']
492,11971,"['bachelor', 'lover']"
493,2625,"['therapist', 'piano']"
494,31911,"['professor', 'friendship']"
495,788,"['san francisco', 'parent child relationship', 'mask']"
496,21450,[]
497,11231,['becoming an adult']
498,41588,['surreal']
499,10447,"['prison', 'island', 'chase', 'dystopia', 'prison guard', 'prison']"
500,31586,"['parent child relationship', 'travel', 'young boy', ""based on children's book""]"
501,9300,"['london england', 'queen', 'woman director']"
502,9559,"['escape from prison', 'escaped convict', '1960s']"
503,9800,"['gay', 'homophobia', 'court', 'partner', 'hiv', 'lawyer']"
504,713,"['scotland', 'mother', 'culture clash', 'violent husband', 'new zealand', 'settler', 'deceived husband', 'woman director']"
505,8291,[]
506,18133,['sport']
507,25557,[]
508,22588,"['radio', 'writer', 'director']"
509,10872,"['holiday', 'burglar', 'blackmail', 'santa claus', 'mother-in-law', 'thief', 'man hunt', 'dinner', 'alcohol', 'mother son relationship']"
510,1245,"['butler', 'flower', 'jewish', 'britain']"
511,11858,"['vietnam veteran', 'soldier', 'woman director']"
512,7007,"['japan', 'usa', 'journalist', 'based on novel', 'wheelchair', 'murder']"
513,10467,['music']
514,5550,"['cyborg', 'dystopia', 'sequel', 'cyberpunk', 'policeman']"
515,8005,"['witch', 'robin hood', 'forest', 'thief', 'spoof', 'tournament']"
516,2088,"['mafia boss', 'bad cop']"
517,10412,['skinhead']
518,47889,['independent film']
519,14534,['sport']
520,56583,"['schizophrenia', 'photograph', 'independent film']"
521,41878,[]
522,424,"['concentration camp', 'hero', 'holocaust', 'world war ii']"
523,35233,['sport']
524,14291,"['chess', 'hustler']"
525,103413,['orphan']
526,11236,"['based on novel', 'servant', 'secret', 'garden', 'independent film', 'little girl', 'orphan', 'india', 'girl', 'woman director']"
527,11592,"['murder', 'independent film']"
528,8850,"['new york', 'atomic bomb', 'superhero']"
529,10445,"['bachelor', 'brother', 'author']"
530,695,"['loss of son', 'fish', 'jazz musician']"
531,43535,[]
532,12519,['pastor']
533,23210,"['con man', 'art']"
534,858,"['father son relationship', 'journalist', 'radio', 'fiancé', 'friendship', 'woman director']"
535,867,"['new york', 'sex', 'based on novel', 'hidden camera', 'psychopath', 'murder', 'neighbor', 'female protagonist']"
536,78,"['dystopia', 'cyberpunk', 'neo-noir']"
537,13203,"['farm', 'liar']"
538,10442,"['scotland', 'butcher', 'sister', 'murder']"
539,11074,"['philadelphia', 'boat']"
540,33367,[]
541,9607,"['saving the world', 'brother brother relationship', 'dinosaur', 'woman director']"
542,17585,[]
543,9057,['kgb']
544,20967,[]
545,10635,['crush']
546,9479,"['holiday', 'fire', 'santa claus', 'magic', 'halloween', 'skeleton', 'music']"
547,10057,[]
548,11969,[]
549,41590,['mob boss']
550,319,"['father son relationship', 'mexican standoff', 'love', 'mafia', 'drug']"
551,26408,"['election campaign', 'woman director']"
552,15139,[]
553,161158,[]
554,218473,['woman director']
555,85247,"['hitman', 'neo-noir']"
556,11446,"['parent child relationship', 'sister sister relationship', 'independent film', 'little girl']"
557,51980,[]
558,24405,"['prison', 'sex', 'waitress', 'fight', 'volcano', 'road trip', 'money', 'scam']"
559,11655,['tycoon']
560,11800,"['new york', 'author']"
561,8223,['photograph']
562,14587,"['indian lead', 'independent film', 'woman director']"
563,31504,['sport']
564,41653,"['father son relationship', 'sadist', 'based on novel', 'jew', 'underwear', 'condom', 'class', 'jewish', 'working class', 'childhood', 'boyfriend girlfriend relationship', '1930s']"
565,53185,[]
566,95743,[]
567,23637,['woman director']
568,17600,"['independent film', 'student', 'incest', 'neighborhood']"
569,10897,"['friendship', 'woman director']"
570,349394,[]
571,21352,[]
572,68806,[]
573,37345,[]
574,32562,"['gay', 'cinema', 'media', 'lesbian', 'hollywood', 'lgbt']"
575,47507,[]
576,25403,['independent film']
577,124304,"['small town', 'widow', 'argentina', 'woman director']"
578,9066,"['supermarket', 'woman director']"
579,771,"['holiday', 'burglar', 'child']"
580,251,['spirit']
581,812,"['magic', 'music', 'cartoon', 'princess', 'love', 'monkey', 'arab']"
582,280,"['cyborg', 'shotgun', 'dystopia']"
583,581,['skab under tv']
584,80350,"['cia', 'amnesia']"
585,268,['superhero']
586,274,"['based on novel', 'psychopath', 'horror']"
587,408,"['poison', 'witch', 'becoming an adult', 'queen', 'dying and death', 'princess', 'candlelight vigil']"
588,10020,"['book', 'music', 'princess', 'beast']"
589,10895,"['lie', 'magic', 'wish', 'boy', 'puppet', 'pool']"
590,114,"['cinderella', 'sports car', 'friendship', 'piano']"
591,41043,"['cat', 'teacher']"
592,576,"['underdog', 'friendship', 'honor', 'gang', 'shootout', 'soldier']"
593,15477,['independent film']
594,59146,['bride']
595,124472,['woman director']
596,30528,[]
597,7300,['skab under tv']
598,10824,"['sequel', 'murder', 'urban legend', 'slasher', 'killer', 'mirror', 'flashback']"
599,261246,"['london england', 'doctor']"
600,275,"['ransom', 'salesclerk', 'winter', 'auto', 'murder', 'money']"
601,25059,[]
602,11827,['taxi']
603,8766,"['hell', 'demon']"
604,23570,['independent film']
605,47333,['aunt']
606,54850,['woman director']
607,51242,"['switzerland', 'worker', 'xenophobia', 'foreign']"
608,10112,"['cat', 'butler', 'return', 'music']"
609,4307,"['spain', 'madrid', 'suicide attempt', 'mother daughter relationship', 'novelist']"
610,46029,[]
611,32308,"['sport', 'monkey']"
